date,inflation,interest,exchange
2015-01-01,7.24,7.75,2.32
2015-02-01,7.55,7.50,2.45
2015-03-01,7.61,7.50,2.55
2015-04-01,7.91,7.50,2.62
2015-05-01,8.09,7.50,2.65
2015-06-01,7.20,7.50,2.71
2015-07-01,6.81,7.50,2.75
2015-08-01,7.14,7.50,2.88
2015-09-01,7.95,7.50,3.02
2015-10-01,7.58,7.50,2.91
2015-11-01,8.10,7.50,2.89
2015-12-01,8.81,7.50,2.92
2016-01-01,9.58,7.50,2.98
2016-02-01,8.78,7.50,2.94
2016-03-01,7.46,7.50,2.85
2016-04-01,6.57,7.50,2.82
2016-05-01,6.58,7.50,2.92
2016-06-01,7.64,7.50,2.89
2016-07-01,8.79,7.50,2.98
2016-08-01,8.05,7.50,2.95
2016-09-01,7.28,7.50,2.97
2016-10-01,7.16,7.50,3.08
2016-11-01,7.00,8.00,3.42
2016-12-01,8.53,8.00,3.52
2017-01-01,9.22,8.00,3.75
2017-02-01,10.13,8.00,3.65
2017-03-01,11.29,8.00,3.64
2017-04-01,11.87,8.00,3.58
2017-05-01,11.72,8.00,3.54
2017-06-01,10.90,8.00,3.52
2017-07-01,9.79,8.00,3.54
2017-08-01,10.68,8.00,3.52
2017-09-01,11.20,8.00,3.45
2017-10-01,11.90,8.00,3.68
2017-11-01,12.98,8.00,3.92
2017-12-01,11.92,8.00,3.85
2018-01-01,10.35,8.00,3.78
2018-02-01,10.26,8.00,3.79
2018-03-01,10.23,8.00,3.95
2018-04-01,10.85,8.00,4.06
2018-05-01,12.15,16.50,4.54
2018-06-01,15.39,17.75,4.62
2018-07-01,15.85,17.75,4.78
2018-08-01,17.90,17.75,6.12
2018-09-01,24.52,24.00,6.38
2018-10-01,25.24,24.00,5.68
2018-11-01,21.62,24.00,5.32
2018-12-01,20.30,24.00,5.28
2019-01-01,20.35,24.00,5.31
2019-02-01,19.67,24.00,5.26
2019-03-01,19.71,24.00,5.55
2019-04-01,19.50,24.00,5.82
2019-05-01,18.71,24.00,6.05
2019-06-01,15.72,24.00,5.82
2019-07-01,16.65,19.75,5.68
2019-08-01,15.01,19.75,5.72
2019-09-01,9.26,16.50,5.68
2019-10-01,8.55,14.00,5.78
2019-11-01,10.56,14.00,5.74
2019-12-01,11.84,12.00,5.94
2020-01-01,12.15,11.25,5.95
2020-02-01,12.37,10.75,6.12
2020-03-01,11.86,9.75,6.58
2020-04-01,10.94,8.75,6.98
2020-05-01,11.39,8.25,6.85
2020-06-01,12.62,8.25,6.85
2020-07-01,11.76,8.25,6.89
2020-08-01,11.77,8.25,7.32
2020-09-01,11.75,10.25,7.68
2020-10-01,11.89,10.25,8.12
2020-11-01,14.03,15.00,8.05
2020-12-01,14.60,17.00,7.42
2021-01-01,14.97,17.00,7.38
2021-02-01,15.61,17.00,7.28
2021-03-01,16.19,19.00,8.12
2021-04-01,17.14,19.00,8.28
2021-05-01,16.59,19.00,8.45
2021-06-01,17.53,19.00,8.68
2021-07-01,18.95,19.00,8.55
2021-08-01,19.25,19.00,8.42
2021-09-01,19.58,18.00,8.85
2021-10-01,19.89,16.00,9.48
2021-11-01,21.31,15.00,12.15
2021-12-01,36.08,14.00,13.32
2022-01-01,48.69,14.00,13.48
2022-02-01,54.44,14.00,13.65
2022-03-01,61.14,14.00,14.72
2022-04-01,69.97,14.00,14.85
2022-05-01,73.50,14.00,16.28
2022-06-01,78.62,14.00,17.25
2022-07-01,79.60,14.00,17.85
2022-08-01,80.21,13.00,18.12
2022-09-01,83.45,12.00,18.45
2022-10-01,85.51,10.50,18.58
2022-11-01,84.39,9.00,18.62
2022-12-01,64.27,9.00,18.72
2023-01-01,57.68,9.00,18.78
2023-02-01,55.18,8.50,18.85
2023-03-01,50.51,8.50,19.12
2023-04-01,43.68,8.50,19.42
2023-05-01,39.59,8.50,20.05
2023-06-01,38.21,15.00,23.68
2023-07-01,47.83,17.50,26.92
2023-08-01,58.94,25.00,27.15
2023-09-01,61.53,30.00,27.42
2023-10-01,61.36,35.00,28.18
2023-11-01,61.98,40.00,28.85
2023-12-01,64.77,42.50,29.42
2024-01-01,64.86,45.00,30.15
2024-02-01,67.07,45.00,30.85
2024-03-01,68.50,50.00,32.28
2024-04-01,69.80,50.00,32.45
2024-05-01,75.45,50.00,32.18
2024-06-01,71.60,50.00,32.65
2024-07-01,61.78,50.00,32.92
2024-08-01,51.97,50.00,33.85
2024-09-01,49.38,50.00,34.12
2024-10-01,48.58,50.00,34.28
2024-11-01,47.09,47.50,34.52
2024-12-01,44.38,47.50,34.85
